trackTargetTrigger groupIndex triggerTime triggerWord
11 0 1759436873570024184 19
11 0 1759436873570024192 12
11 0 1759436873570024208 15
11 0 1759436873570024240 46
11 0 1759436873570026520 11
11 1 1759436877897019040 19
11 1 1759436877897019048 12
11 1 1759436877897019064 15
11 1 1759436877897019096 46
11 1 1759436877897021376 11
11 2 1759436880055019960 19
11 2 1759436880055019968 12
11 2 1759436880055019984 15
11 2 1759436880055020016 46
11 2 1759436880055022296 11
11 3 1759436882398574872 19
11 3 1759436882398574880 12
11 3 1759436882398574896 15
11 3 1759436882398574928 46
11 3 1759436882398577208 11
11 4 1759436885511613952 19
11 4 1759436885511613960 12
11 4 1759436885511613976 15
11 4 1759436885511614008 46
11 4 1759436885511616288 11
11 5 1759436889270977832 19
11 5 1759436889270977840 12
11 5 1759436889270977856 15
11 5 1759436889270977888 46
11 5 1759436889270980168 11
11 6 1759436891666145640 19
11 6 1759436891666145648 12
11 6 1759436891666145664 15
11 6 1759436891666145696 46
11 6 1759436891666147976 11
11 7 1759436896036643864 19
11 7 1759436896036643872 12
11 7 1759436896036643888 15
11 7 1759436896036643920 46
11 7 1759436896036646200 11
11 8 1759436899916713544 19
11 8 1759436899916713552 12
11 8 1759436899916713568 15
11 8 1759436899916713600 46
11 8 1759436899916715880 11
11 9 1759436905700375560 19
11 9 1759436905700375568 12
11 9 1759436905700375584 15
11 9 1759436905700375616 46
11 9 1759436905700377896 11
11 10 1759436909976274424 19
11 10 1759436909976274432 12
11 10 1759436909976274448 15
11 10 1759436909976274480 46
11 10 1759436909976276760 11
11 11 1759436913198898320 19
11 11 1759436913198898328 12
11 11 1759436913198898344 15
11 11 1759436913198898376 46
11 11 1759436913198900656 11
11 12 1759436915250160040 19
11 12 1759436915250160048 12
11 12 1759436915250160064 15
11 12 1759436915250160096 46
11 12 1759436915250162376 11
11 13 1759436918348840680 19
11 13 1759436918348840688 12
11 13 1759436918348840704 15
11 13 1759436918348840736 46
11 13 1759436918348843016 11
11 14 1759436920486072992 19
11 14 1759436920486073000 12
11 14 1759436920486073016 15
11 14 1759436920486073048 46
11 14 1759436920486075328 11
11 15 1759436922901700712 19
11 15 1759436922901700720 12
11 15 1759436922901700736 15
11 15 1759436922901700768 46
11 15 1759436922901703048 11
11 16 1759436925228629136 19
11 16 1759436925228629144 12
11 16 1759436925228629160 15
11 16 1759436925228629192 46
11 16 1759436925228631472 11
11 17 1759436927757859808 19
11 17 1759436927757859816 12
11 17 1759436927757859832 15
11 17 1759436927757859864 46
11 17 1759436927757862144 11
11 18 1759436931748690408 19
11 18 1759436931748690416 12
11 18 1759436931748690432 15
11 18 1759436931748690464 46
11 18 1759436931748692744 11
11 19 1759436937892403304 19
11 19 1759436937892403312 12
11 19 1759436937892403328 15
11 19 1759436937892403360 46
11 19 1759436937892405640 11
11 20 1759436940047571464 19
11 20 1759436940047571472 12
11 20 1759436940047571488 15
11 20 1759436940047571520 46
11 20 1759436940047573800 11
11 21 1759436944569801064 19
11 21 1759436944569801072 12
11 21 1759436944569801088 15
11 21 1759436944569801120 46
11 21 1759436944569803400 11
11 22 1759436947531191928 19
11 22 1759436947531191936 12
11 22 1759436947531191952 15
11 22 1759436947531191984 46
11 22 1759436947531194264 11
11 23 1759436950080064888 19
11 23 1759436950080064896 12
11 23 1759436950080064912 15
11 23 1759436950080064944 46
11 23 1759436950080067224 11
11 24 1759436954483504632 19
11 24 1759436954483504640 12
11 24 1759436954483504656 15
11 24 1759436954483504688 46
11 24 1759436954483506968 11
11 25 1759436959714359728 19
11 25 1759436959714359736 12
11 25 1759436959714359752 15
11 25 1759436959714359784 46
11 25 1759436959714362064 11
11 26 1759436962689352656 19
11 26 1759436962689352664 12
11 26 1759436962689352680 15
11 26 1759436962689352712 46
11 26 1759436962689354992 11
11 27 1759436967162871320 19
11 27 1759436967162871328 12
11 27 1759436967162871344 15
11 27 1759436967162871376 46
11 27 1759436967162873656 11
11 28 1759436969725129000 19
11 28 1759436969725129008 12
11 28 1759436969725129024 15
11 28 1759436969725129056 46
11 28 1759436969725131336 11
11 29 1759436975601120704 19
11 29 1759436975601120712 12
11 29 1759436975601120728 15
11 29 1759436975601120760 46
11 29 1759436975601123040 11
11 30 1759436978587178944 19
11 30 1759436978587178952 12
11 30 1759436978587178968 15
11 30 1759436978587179000 46
11 30 1759436978587181280 11
11 31 1759436981825184320 19
11 31 1759436981825184328 12
11 31 1759436981825184344 15
11 31 1759436981825184376 46
11 31 1759436981825186656 11
11 32 1759436985179891696 19
11 32 1759436985179891704 12
11 32 1759436985179891720 15
11 32 1759436985179891752 46
11 32 1759436985179894032 11
11 33 1759436990910984776 19
11 33 1759436990910984784 12
11 33 1759436990910984800 15
11 33 1759436990910984832 46
11 33 1759436990910987112 11
11 34 1759436995771087048 19
11 34 1759436995771087056 12
11 34 1759436995771087072 15
11 34 1759436995771087104 46
11 34 1759436995771089384 11
11 35 1759437000160395896 19
11 35 1759437000160395904 12
11 35 1759437000160395920 15
11 35 1759437000160395952 46
11 35 1759437000160398232 11
11 36 1759437005952271992 19
11 36 1759437005952272000 12
11 36 1759437005952272016 15
11 36 1759437005952272048 46
11 36 1759437005952274328 11
11 37 1759437008021163728 19
11 37 1759437008021163736 12
11 37 1759437008021163752 15
11 37 1759437008021163784 46
11 37 1759437008021166064 11
11 38 1759437010528283664 19
11 38 1759437010528283672 12
11 38 1759437010528283688 15
11 38 1759437010528283720 46
11 38 1759437010528286000 11
11 39 1759437012600786152 19
11 39 1759437012600786160 12
11 39 1759437012600786176 15
11 39 1759437012600786208 46
11 39 1759437012600788488 11
11 40 1759437016162511488 19
11 40 1759437016162511496 12
11 40 1759437016162511512 15
11 40 1759437016162511544 46
11 40 1759437016162513824 11
11 41 1759437019275520328 19
11 41 1759437019275520336 12
11 41 1759437019275520352 15
11 41 1759437019275520384 46
11 41 1759437019275522664 11
11 42 1759437023657529800 19
11 42 1759437023657529808 12
11 42 1759437023657529824 15
11 42 1759437023657529856 46
11 42 1759437023657532136 11
11 43 1759437025949461760 19
11 43 1759437025949461768 12
11 43 1759437025949461784 15
11 43 1759437025949461816 46
11 43 1759437025949464096 11
11 44 1759437028181347528 19
11 44 1759437028181347536 12
11 44 1759437028181347552 15
11 44 1759437028181347584 46
11 44 1759437028181349864 11
11 45 1759437030545649792 19
11 45 1759437030545649800 12
11 45 1759437030545649816 15
11 45 1759437030545649848 46
11 45 1759437030545652128 11
11 46 1759437033501911040 19
11 46 1759437033501911048 12
11 46 1759437033501911064 15
11 46 1759437033501911096 46
11 46 1759437033501913376 11
11 47 1759437036616249208 19
11 47 1759437036616249216 12
11 47 1759437036616249232 15
11 47 1759437036616249264 46
11 47 1759437036616251544 11
11 48 1759437039313735064 19
11 48 1759437039313735072 12
11 48 1759437039313735088 15
11 48 1759437039313735120 46
11 48 1759437039313737400 11
11 49 1759437042319064984 19
11 49 1759437042319064992 12
11 49 1759437042319065008 15
11 49 1759437042319065040 46
11 49 1759437042319067320 11
11 50 1759437044527885120 19
11 50 1759437044527885128 12
11 50 1759437044527885144 15
11 50 1759437044527885176 46
11 50 1759437044527887456 11
11 51 1759437047887444768 19
11 51 1759437047887444776 12
11 51 1759437047887444792 15
11 51 1759437047887444824 46
11 51 1759437047887447104 11
11 52 1759437051226319976 19
11 52 1759437051226319984 12
11 52 1759437051226320000 15
11 52 1759437051226320032 46
11 52 1759437051226322312 11
11 53 1759437053843074104 19
11 53 1759437053843074112 12
11 53 1759437053843074128 15
11 53 1759437053843074160 46
11 53 1759437053843076440 11
11 54 1759437059113279280 19
11 54 1759437059113279288 12
11 54 1759437059113279304 15
11 54 1759437059113279336 46
11 54 1759437059113281616 11
11 55 1759437062311999232 19
11 55 1759437062311999240 12
11 55 1759437062311999256 15
11 55 1759437062311999288 46
11 55 1759437062312001568 11
11 56 1759437064411095296 19
11 56 1759437064411095304 12
11 56 1759437064411095320 15
11 56 1759437064411095352 46
11 56 1759437064411097632 11
11 57 1759437068460130088 19
11 57 1759437068460130096 12
11 57 1759437068460130112 15
11 57 1759437068460130144 46
11 57 1759437068460132424 11
11 58 1759437071333255400 19
11 58 1759437071333255408 12
11 58 1759437071333255424 15
11 58 1759437071333255456 46
11 58 1759437071333257736 11
11 59 1759437073500759568 19
11 59 1759437073500759576 12
11 59 1759437073500759592 15
11 59 1759437073500759624 46
11 59 1759437073500761904 11
11 60 1759437075953411856 19
11 60 1759437075953411864 12
11 60 1759437075953411880 15
11 60 1759437075953411912 46
11 60 1759437075953414192 11
11 61 1759437078919860712 19
11 61 1759437078919860720 12
11 61 1759437078919860736 15
11 61 1759437078919860768 46
11 61 1759437078919863048 11
11 62 1759437082680199456 19
11 62 1759437082680199464 12
11 62 1759437082680199480 15
11 62 1759437082680199512 46
11 62 1759437082680201792 11
11 63 1759437085595086880 19
11 63 1759437085595086888 12
11 63 1759437085595086904 15
11 63 1759437085595086936 46
11 63 1759437085595089216 11
11 64 1759437087867994344 19
11 64 1759437087867994352 12
11 64 1759437087867994368 15
11 64 1759437087867994400 46
11 64 1759437087867996680 11
11 65 1759437092765422144 19
11 65 1759437092765422152 12
11 65 1759437092765422168 15
11 65 1759437092765422200 46
11 65 1759437092765424480 11
11 66 1759437095706428240 19
11 66 1759437095706428248 12
11 66 1759437095706428264 15
11 66 1759437095706428296 46
11 66 1759437095706430576 11
11 67 1759437098692189456 19
11 67 1759437098692189464 12
11 67 1759437098692189480 15
11 67 1759437098692189512 46
11 67 1759437098692191792 11
11 68 1759437102067151928 19
11 68 1759437102067151936 12
11 68 1759437102067151952 15
11 68 1759437102067151984 46
11 68 1759437102067154264 11
11 69 1759437104274312704 19
11 69 1759437104274312712 12
11 69 1759437104274312728 15
11 69 1759437104274312760 46
11 69 1759437104274315040 11
11 70 1759437107047621472 19
11 70 1759437107047621480 12
11 70 1759437107047621496 15
11 70 1759437107047621528 46
11 70 1759437107047623808 11
11 71 1759437112186233608 19
11 71 1759437112186233616 12
11 71 1759437112186233632 15
11 71 1759437112186233664 46
11 71 1759437112186235944 11
11 72 1759437115258095680 19
11 72 1759437115258095688 12
11 72 1759437115258095704 15
11 72 1759437115258095736 46
11 72 1759437115258098016 11
11 73 1759437120460246520 19
11 73 1759437120460246528 12
11 73 1759437120460246544 15
11 73 1759437120460246576 46
11 73 1759437120460248856 11
11 74 1759437122505781448 19
11 74 1759437122505781456 12
11 74 1759437122505781472 15
11 74 1759437122505781504 46
11 74 1759437122505783784 11
11 75 1759437126427048328 19
11 75 1759437126427048336 12
11 75 1759437126427048352 15
11 75 1759437126427048384 46
11 75 1759437126427050664 11
11 76 1759437130202911312 19
11 76 1759437130202911320 12
11 76 1759437130202911336 15
11 76 1759437130202911368 46
11 76 1759437130202913648 11
11 77 1759437132574248696 19
11 77 1759437132574248704 12
11 77 1759437132574248720 15
11 77 1759437132574248752 46
11 77 1759437132574251032 11
11 78 1759437136314266792 19
11 78 1759437136314266800 12
11 78 1759437136314266816 15
11 78 1759437136314266848 46
11 78 1759437136314269128 11
11 79 1759437138726193792 19
11 79 1759437138726193800 12
11 79 1759437138726193816 15
11 79 1759437138726193848 46
11 79 1759437138726196128 11
11 80 1759437141347856744 19
11 80 1759437141347856752 12
11 80 1759437141347856768 15
11 80 1759437141347856800 46
11 80 1759437141347859080 11
11 81 1759437145730788672 19
11 81 1759437145730788680 12
11 81 1759437145730788696 15
11 81 1759437145730788728 46
11 81 1759437145730791008 11
11 82 1759437148501138768 19
11 82 1759437148501138776 12
11 82 1759437148501138792 15
11 82 1759437148501138824 46
11 82 1759437148501141104 11
11 83 1759437150671531456 19
11 83 1759437150671531464 12
11 83 1759437150671531480 15
11 83 1759437150671531512 46
11 83 1759437150671533792 11
11 84 1759437152757208648 19
11 84 1759437152757208656 12
11 84 1759437152757208672 15
11 84 1759437152757208704 46
11 84 1759437152757210984 11
11 85 1759437156319969160 19
11 85 1759437156319969168 12
11 85 1759437156319969184 15
11 85 1759437156319969216 46
11 85 1759437156319971496 11
11 86 1759437159380343416 19
11 86 1759437159380343424 12
11 86 1759437159380343440 15
11 86 1759437159380343472 46
11 86 1759437159380345752 11
11 87 1759437162180207136 19
11 87 1759437162180207144 12
11 87 1759437162180207160 15
11 87 1759437162180207192 46
11 87 1759437162180209472 11
11 88 1759437170895877904 19
11 88 1759437170895877912 12
11 88 1759437170895877928 15
11 88 1759437170895877960 46
11 88 1759437170895880240 11
11 89 1759437174833835912 19
11 89 1759437174833835920 12
11 89 1759437174833835936 15
11 89 1759437174833835968 46
11 89 1759437174833838248 11
11 90 1759437177036369160 19
11 90 1759437177036369168 12
11 90 1759437177036369184 15
11 90 1759437177036369216 46
11 90 1759437177036371496 11
11 91 1759437183479998496 19
11 91 1759437183479998504 12
11 91 1759437183479998520 15
11 91 1759437183479998552 46
11 91 1759437183480000832 11
11 92 1759437185759283288 19
11 92 1759437185759283296 12
11 92 1759437185759283312 15
11 92 1759437185759283344 46
11 92 1759437185759285624 11
11 93 1759437187930536816 19
11 93 1759437187930536824 12
11 93 1759437187930536840 15
11 93 1759437187930536872 46
11 93 1759437187930539152 11
11 94 1759437190790464936 19
11 94 1759437190790464944 12
11 94 1759437190790464960 15
11 94 1759437190790464992 46
11 94 1759437190790467272 11
11 95 1759437192834833000 19
11 95 1759437192834833008 12
11 95 1759437192834833024 15
11 95 1759437192834833056 46
11 95 1759437192834835336 11
11 96 1759437198207022120 19
11 96 1759437198207022128 12
11 96 1759437198207022144 15
11 96 1759437198207022176 46
11 96 1759437198207024456 11
11 97 1759437200822486136 19
11 97 1759437200822486144 12
11 97 1759437200822486160 15
11 97 1759437200822486192 46
11 97 1759437200822488472 11
11 98 1759437203345210952 19
11 98 1759437203345210960 12
11 98 1759437203345210976 15
11 98 1759437203345211008 46
11 98 1759437203345213288 11
11 99 1759437205950931224 19
11 99 1759437205950931232 12
11 99 1759437205950931248 15
11 99 1759437205950931280 46
11 99 1759437205950933560 11
11 100 1759437208983615376 19
11 100 1759437208983615384 12
11 100 1759437208983615400 15
11 100 1759437208983615432 46
11 100 1759437208983617712 11
11 101 1759437211078341544 19
11 101 1759437211078341552 12
11 101 1759437211078341568 15
11 101 1759437211078341600 46
11 101 1759437211078343880 11
11 102 1759437215779706376 19
11 102 1759437215779706384 12
11 102 1759437215779706400 15
11 102 1759437215779706432 46
11 102 1759437215779708712 11
11 103 1759437218264780264 19
11 103 1759437218264780272 12
11 103 1759437218264780288 15
11 103 1759437218264780320 46
11 103 1759437218264782600 11
11 104 1759437222211745192 19
11 104 1759437222211745200 12
11 104 1759437222211745216 15
11 104 1759437222211745248 46
11 104 1759437222211747528 11
11 105 1759437224511479048 19
11 105 1759437224511479056 12
11 105 1759437224511479072 15
11 105 1759437224511479104 46
11 105 1759437224511481384 11
11 106 1759437228999850688 19
11 106 1759437228999850696 12
11 106 1759437228999850712 15
11 106 1759437228999850744 46
11 106 1759437228999853024 11
11 107 1759437232871616592 19
11 107 1759437232871616600 12
11 107 1759437232871616616 15
11 107 1759437232871616648 46
11 107 1759437232871618928 11
11 108 1759437236055003168 19
11 108 1759437236055003176 12
11 108 1759437236055003192 15
11 108 1759437236055003224 46
11 108 1759437236055005504 11
11 109 1759437239473523032 19
11 109 1759437239473523040 12
11 109 1759437239473523056 15
11 109 1759437239473523088 46
11 109 1759437239473525368 11
11 110 1759437241563820416 19
11 110 1759437241563820424 12
11 110 1759437241563820440 15
11 110 1759437241563820472 46
11 110 1759437241563822752 11
11 111 1759437244264239584 19
11 111 1759437244264239592 12
